kword,engexp,mp3
교육,"education, training, schooling",https://ko-audio.howtopronounce.com/9588e07bbf74149a028de266aff3e561.mp3
대학원,graduate school,https://ko-audio.howtopronounce.com/15842682975e6e0409a5544.mp3
대학원생,graduate student,https://ko-audio.howtopronounce.com/16164252326058b1108a632.mp3
대학교,"university, college",https://ko-audio.howtopronounce.com/1662723499631b25ab1977e.mp3
고등학교,high school,https://ko-audio.howtopronounce.com/1764688343692f01d7dd6a2.mp3
대학생,university student,https://ko-audio.howtopronounce.com/1753070580687dbbf42bc3f.mp3
대학,"university, college; faculty",https://ko-audio.howtopronounce.com/15843678545e6f88ee8da07.mp3
연구소,research institute,https://ko-audio.howtopronounce.com/15842000075e6cf947db753.mp3
고등학생,high school student,https://ko-audio.howtopronounce.com/166563699463479a8231f3c.mp3
중학생,middle school student,https://ko-audio.howtopronounce.com/601cd93ff45e836d45a81c55a3985821.mp3
중학교,middle school,https://ko-audio.howtopronounce.com/d7e45c3a5159ec9c09e76c51638b0e6c.mp3
초등학교,elementary school,https://ko-audio.howtopronounce.com/f2438f5a7e204b52a9056e176b5d5c95.mp3
초등학생,elementary school student,https://ko-audio.howtopronounce.com/172104891566951f5313e53.mp3
유치원,kindergarten,https://ko-audio.howtopronounce.com/0053e8cda6a61289916b1ca08bd32f48.mp3
유치원생,kindergartener,https://ko-audio.howtopronounce.com/162151800060a666b0b5632.mp3
학원,"private institute, school, academy",https://ko-audio.howtopronounce.com/ddd1842a55033845adf2e516c9186e40.mp3
