kword,engexp,mp3
교육,"education, training, schooling",https://ko-audio.howtopronounce.com/17680605106962765e37a49.mp3
대학원,graduate school,https://ko-audio.howtopronounce.com/15842682975e6e0409a5544.mp3
대학원생,graduate student,https://ko-audio.howtopronounce.com/1755286916689f8d84c88b5.mp3
대학교,"university, college",https://ko-audio.howtopronounce.com/1662723499631b25ab1977e.mp3
고등학교,high school,https://ko-audio.howtopronounce.com/1764688343692f01d7dd6a2.mp3
대학생,university student,https://ko-audio.howtopronounce.com/df3b41746d7146626ed655844a55dd43.mp3
대학,"university, college; faculty",https://ko-audio.howtopronounce.com/15843678545e6f88ee8da07.mp3
연구소,research institute,https://ko-audio.howtopronounce.com/15842000075e6cf947db753.mp3
고등학생,high school student,https://ko-audio.howtopronounce.com/166563699463479a8231f3c.mp3
중학생,middle school student,https://ko-audio.howtopronounce.com/17619815486905b46c8d8fd.mp3
중학교,middle school,https://ko-audio.howtopronounce.com/d7e45c3a5159ec9c09e76c51638b0e6c.mp3
초등학교,elementary school,https://ko-audio.howtopronounce.com/f2438f5a7e204b52a9056e176b5d5c95.mp3
초등학생,elementary school student,https://ko-audio.howtopronounce.com/172104891566951f5313e53.mp3
유치원,kindergarten,https://ko-audio.howtopronounce.com/0053e8cda6a61289916b1ca08bd32f48.mp3
유치원생,kindergartener,https://ko-audio.howtopronounce.com/162151800060a666b0b5632.mp3
학원,"private institute, school, academy",https://ko-audio.howtopronounce.com/175655049068b2d55aeebf2.mp3
교무실,"faculty office, teacher's office",0
선생님,teacher,https://ko-audio.howtopronounce.com/15843585425e6f648ebb24f.mp3
교수,"professor; teaching, instruction",https://ko-audio.howtopronounce.com/1619698084608aa1a423feb.mp3
교사,"(higher education) instructor, teacher, school teacher; (formal) instigation, incitement, incite",https://ko-audio.howtopronounce.com/1717733587666288d387871.mp3
박사,doctor (phd); expert; doctorate degree,https://ko-audio.howtopronounce.com/15841267875e6bdb4388b53.mp3
학위,academic degree,0
반장,"class president, leader",{{ voice.current_audio_url }}
학생,student,https://ko-audio.howtopronounce.com/539efd49bb857467d3d3587b557c91ca.mp3
동창,"fellow students, classmates",https://ko-audio.howtopronounce.com/15794728145e24d7aee2673.mp3
남학생,male student,https://ko-audio.howtopronounce.com/384c93691af74a6406f36de7fe728557.mp3
